German,English
anfangen,to begin
Habe,Have
hinten,behind
fällt,falls
wen,whom
Sekunden,seconds
Manchmal,Sometimes
gerettet,rescued
Naja,Well
Gibt,Gives
jemals,ever
Meinung,opinion
geschehen,done
Antwort,answer
schlimm,bad
Eigentlich,Actually
findet,finds
Scheiß,shit
gewinnen,win
Tu,Tu
Gedanken,thoughts
erinnere,remember
mögen,to like
Herren,Men's
klingt,sounds
vorher,previously
Auge,eye
hab',hab '
setzen,put
cool,cool
Anfang,Beginning
Immer,always
danach,after that
Monate,months
Lebens,life
Beste,best
benutzen,to use
Nehmen,To take
fühlen,feel
Ärger,trouble
arbeite,working
Rolle,role
gefährlich,dangerous
Dort,There
gelernt,learned
fallen,fall
böse,evil
werd,expectant
Nähe,neighborhood
geschickt,cleverly
liebt,loves
Tisch,table
Mehr,More
Ziel,target
Raum,room
jedem,each
fliegen,to fly
Wohnung,flat
Dafür,Therefore
erfahren,Experienced
dumm,stupid
eher,rather
vorsichtig,carefully
herum,around
Klappe,flap
schicken,send
Laden,load
aufs,onto
Wird,Becomes
Warten,Waiting
großer,greater
arbeitet,is working
Euer,Your
Worte,words
richtige,right one
Flugzeug,plane
Firma,company
bezahlen,pay
Einer,one
Glaubst,Do
falls,if
schreiben,write
tat,did
Darum,Therefore
starb,died
Schluss,Enough
Fenster,window
liegen,lie
wär's,bout
Verzeihung,forgiveness
niemanden,anyone
neues,new
Weiß,White
benutzt,used
nen,nen
jedes,each
schätze,wealth
Finger,finger
wert,value
rüber,over
halte,think
Falls,If
besonders,especially
Daddy,Daddy
Witz,joke
nachdem,after this
nimmt,takes
Kontrolle,control
großartig,Great
Herzen,heart
gutes,good
gewonnen,won
Bier,beer
kamen,came
Drei,Three
stolz,proud
Egal,No matter
komisch,funny
bitten,ask
Ihrer,Of their
plötzlich,suddenly
Bring,Bring
Informationen,information
bring,bring
neu,New
glaubt,believes
Seid,Are
hörte,heard
rum,rum
Lage,location
sowieso,anyway
bekommt,gets
Ruf,call
dagegen,on the other hand
Richtung,direction
nötig,necessary
Minute,minute
lesen,read
behalten,to keep
selber,himself
verkaufen,to sell
geschrieben,written
Entscheidung,decision
unterwegs,on road
Insel,island
Hotel,hotel
voller,full of
frage,question
Monat,month
rufe,call
verdient,earned
gearbeitet,worked
wenigstens,at least
wünschte,wish
tu,tu
schöne,lovely
Selbst,Self
Seele,soul
stand,was standing
Geist,ghost
Gefahr,danger
Gefallen,Like
unmöglich,impossible
gelesen,read
glaub,think
Wegen,Because of
bezahlt,paid
Schicksal,fate
verstehst,understand
leider,Unfortunately
Monaten,months
Weile,while
verheiratet,married
mussten,had
Agent,agent
rufen,call
jemandem,somebody
gib,give
Beispiel,example
kalt,cold
sitzt,seated
Anruf,Call
Sekunde,second
schneller,more quickly
hey,hey
verdammte,damned
euer,your
hole,get
Denkst,think
Bauer,Farmer
Karte,map
aller,all
du's,du's
Befehl,command
darfst,allowed to
bekannt,known
Opfer,Victim
unglaublich,incredible
steckt,plugged
Ernst,serious
unbedingt,necessarily
Wen,Whom
Zug,train
perfekt,Perfect
witzig,funny
Amerika,America
Keiner,none
Kamera,camera
führt,leads
passt,fit
schlagen,beat
kriegt,gets
Glauben,Believe
sieh,look
nennt,is called
bin's,bin's
Gefühle,feelings
ständig,constantly
verändert,changed
tolle,amazing
Gottes,God
heiß,hot
Partner,partner
Mörder,killer
folgen,consequences
Mich,Me
Computer,computer
dahin,then
ansehen,look at
Außerdem,also
Wovon,About what
nimm,take
klein,small
zerstört,destroyed
suche,search
I,I
nämlich,namely
Versuch,attempt
schlimmer,worse
Sheriff,sheriff
Unfall,accident
müsste,should
entschuldigen,to apologize
Vorsicht,Attention
Nase,nose
sowas,like this
schießen,shoot
alter,Age
Geburtstag,birthday
beschützen,to protect
Zurück,Back
müde,tired
Beziehung,relationship
gestohlen,stolen
stirbt,dies
Geheimnis,secret
süß,sweet
offen,open
Ihrem,your
Geschenk,gift
Punkt,Point
Über,about
hilft,help
Dame,lady
bewegen,move
solange,as long as
sauer,angry
Tasche,bag
Schritt,step
Sie's,she's
Setz,Sit
Arm,poor
meinte,said
müsst,need
erwischt,Caught
gehabt,had
Bart,beard
vertrauen,trust
erreichen,to reach
wär,would
Gebäude,building
